Name|Type|Size|Parent Directory
9de29bb2d1d6434b8b29ae775ad8c2e48c5391|file|15|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\e6
e6|directory|15|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
4afd7bef69a0699fec21913811b8c18d2874bc|file|232|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\ea
ea|directory|232|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
ac55cf8274903ea810308408f2f66709d3b5fb|file|52|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\eb
eb|directory|52|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
3edf35d5e63c33719002a7cb2836312e55f116|file|405|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\ec
ec|directory|405|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
2153959d8abddcd285a39e3ec79197bad4d910|file|173|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\ef
b8de6cbbd19560ec042be5f647ba678059a1eb|file|7660|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\ef
ef|directory|7833|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
7fd0dde5184414b8093cd7465282218b81b093|file|132|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\f0
f0|directory|132|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
09b7a38ed6e3ba20883bbe9c6ca31dc69f8839|file|1201|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\f4
f4|directory|1201|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
5f2b027f11a6586b31bf1b7470768a1e47295f|file|338|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\f5
f5|directory|338|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
7e381505a2cb224829aaa07f3c26495bdf4ebd|file|123|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\f7
f7|directory|123|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
8d08279159adf988088a942e9c64e88cc11fe6|file|106|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\fa
fa|directory|106|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
a240b9a0a007cfa1746a35c5f748fed4391943|file|175|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\fd
fd|directory|175|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
a793e8fb8327f9cd5586c5ef54f56fc38a9688|file|831|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\ff
ff|directory|831|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
info|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
pack|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
refs|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git
master|file|41|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\refs\heads
heads|directory|41|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\refs
remotes|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\refs
master|file|41|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\refs\remotes\master
master|directory|41|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\refs\remotes
tags|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\refs
.gitignore|file|184|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.idea
DeepPyLearningGB.iml|file|361|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.idea
misc.xml|file|208|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.idea
modules.xml|file|291|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.idea
vcs.xml|file|185|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.idea
workspace.xml|file|12819|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.idea
.idea|directory|14048|C:\Users\Marsel\pythonProject\DeepPyLearningGB
profiles_settings.xml|file|174|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.idea\inspectionProfiles
Project_Default.xml|file|537|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.idea\inspectionProfiles
inspectionProfiles|directory|711|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.idea
1|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB
main.py|file|2875|C:\Users\Marsel\pythonProject\DeepPyLearningGB\1\Home
Home|directory|2875|C:\Users\Marsel\pythonProject\DeepPyLearningGB\1
Seminar|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\1
2|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB
main.py|file|3095|C:\Users\Marsel\pythonProject\DeepPyLearningGB\2\Home
Home|directory|3095|C:\Users\Marsel\pythonProject\DeepPyLearningGB\2
main.py|file|795|C:\Users\Marsel\pythonProject\DeepPyLearningGB\2\Seminar
Seminar|directory|795|C:\Users\Marsel\pythonProject\DeepPyLearningGB\2
3|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB
main.py|file|3676|C:\Users\Marsel\pythonProject\DeepPyLearningGB\3\Home
Text.txt|file|21905|C:\Users\Marsel\pythonProject\DeepPyLearningGB\3\Home
Home|directory|25581|C:\Users\Marsel\pythonProject\DeepPyLearningGB\3
main.py|file|1203|C:\Users\Marsel\pythonProject\DeepPyLearningGB\3\Seminar
Seminar|directory|1203|C:\Users\Marsel\pythonProject\DeepPyLearningGB\3
4|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB
task1.py|file|603|C:\Users\Marsel\pythonProject\DeepPyLearningGB\4\Home
